* Block Type = 96fast																							
* Chemistry = SYBR_GREEN																							
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Falk\Neustadt_2020\Enig_Neustadt_2020_leaf.eds																							
* Experiment Run End Time = 2022-01-06 15:41:39 PM CET																							
* Instrument Type = sds7500fast																							
* Passive Reference = ROX																							
																							
[Results]																							
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments	HIGHSD	NOAMP	EXPFAIL
F8	N2Cu2L	Enig	UNKNOWN	SYBR	None	30.8946	31.5451	0.6275	0	0	0	false	0.25	true	3	26	82.8				Y	N	N
F9	N2Cu3L	Enig	UNKNOWN	SYBR	None	32.2773	31.3224	0.8358	0	0	0	false	0.25	true	3	27	82.8				Y	N	N
F10																					N	N	N
F11																					N	N	N
F12																					N	N	N
G1	SB13_1	Enig	STANDARD	SYBR	None	11.1943	11.0543	0.198	1.15			false	0.25	true	3	6	82.8				N	N	N
G2	SB13_2	Enig	STANDARD	SYBR	None	15.3079	15.2343	0.1042	0.115			false	0.25	true	3	11	82.8				N	N	N
G3	SB13_3	Enig	STANDARD	SYBR	None	18.9506	18.9107	0.0565	0.0115			false	0.25	true	3	14	82.8				N	N	N
G4	SB13_4	Enig	STANDARD	SYBR	None	22.4744	22.4693	0.0073	0.0012			false	0.25	true	3	17	83.8				N	N	N
G5	SB13_5	Enig	STANDARD	SYBR	None	26.2119	26.2899	0.1103	0.0001			false	0.25	true	3	21	83.8				N	N	N
G6	SB13_6	Enig	STANDARD	SYBR	None	30.7682	30.2739	0.699	0			false	0.25	true	3	26	82.8				Y	N	N
G7	SB13_7	Enig	STANDARD	SYBR	None	33.8042	33.7414	0.0888	0			false	0.25	true	3	29	82.8				N	N	N
G8	SB13_8	Enig	STANDARD	SYBR	None	Undetermined			0			false	0.25	true	3	39	70.6				N	Y	Y
G9	EB	Enig	NTC	SYBR	None	Undetermined						false	0.25	true	3	39	70.85				N	N	N
G10																					N	N	N
G11																					N	N	N
G12																					N	N	N
H1	SB13_1	Enig	STANDARD	SYBR	None	10.9143	11.0543	0.198	1.15			false	0.25	true	3	5	82.8				N	N	N
H2	SB13_2	Enig	STANDARD	SYBR	None	15.1606	15.2343	0.1042	0.115			false	0.25	true	3	11	82.8				N	N	N
H3	SB13_3	Enig	STANDARD	SYBR	None	18.8708	18.9107	0.0565	0.0115			false	0.25	true	3	13	82.8				N	N	N
H4	SB13_4	Enig	STANDARD	SYBR	None	22.4641	22.4693	0.0073	0.0012			false	0.25	true	3	17	82.8				N	N	N
H5	SB13_5	Enig	STANDARD	SYBR	None	26.3679	26.2899	0.1103	0.0001			false	0.25	true	3	21	82.8				N	N	N
H6	SB13_6	Enig	STANDARD	SYBR	None	29.7796	30.2739	0.699	0			false	0.25	true	3	25	82.8				Y	N	N
H7	SB13_7	Enig	STANDARD	SYBR	None	33.6786	33.7414	0.0888	0			false	0.25	true	3	28	82.8				N	N	N
H8	SB13_8	Enig	STANDARD	SYBR	None	Undetermined			0			false	0.25	true	3	39	72.1				N	N	Y
H9	EB	Enig	NTC	SYBR	None	Undetermined						false	0.25	true	3	39	71.1				N	N	N
H10																					N	N	N
H11																					N	N	N
H12																					N	N	N
